2019-10-14 15:47:11:231   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:262   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:274   创建设备：192.168.1.41:12345接收线程！
2019-10-14 15:47:11:308   设备：192.168.1.38:12345连接！
2019-10-14 15:47:11:342   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:378   192.168.1.53:12345接收数据：+NAME:????????????9

2019-10-14 15:47:11:395   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:426   设备：192.168.1.36:12345连接！
2019-10-14 15:47:11:437   192.168.1.41:12345接收数据：+NAME:????????????12

2019-10-14 15:47:11:465   创建设备：192.168.1.38:12345接收线程！
2019-10-14 15:47:11:487   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:515   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:536   创建设备：192.168.1.36:12345接收线程！
2019-10-14 15:47:11:576   192.168.1.36:12345接收数据：+NAME:????????????7

2019-10-14 15:47:11:586   192.168.1.38:12345接收数据：+NAME:????????????9

2019-10-14 15:47:11:614   设备：192.168.1.35:12345连接！
2019-10-14 15:47:11:644   192.168.1.36:12345接收数据：+NAME:????????????7

2019-10-14 15:47:11:680   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:686   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:697   192.168.1.38:12345接收数据：+NAME:????????????9

2019-10-14 15:47:11:727   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:738   创建设备：192.168.1.35:12345接收线程！
2019-10-14 15:47:11:774   设备：192.168.1.22:12345连接！
2019-10-14 15:47:11:802   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:833   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:849   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:863   192.168.1.35:12345接收数据：+NAME:????????????6

2019-10-14 15:47:11:877   设备：192.168.1.47:12345连接！
2019-10-14 15:47:11:886   创建设备：192.168.1.22:12345接收线程！
2019-10-14 15:47:11:925   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:960   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:979   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:013   创建设备：192.168.1.47:12345接收线程！
2019-10-14 15:47:12:048   192.168.1.22:12345接收数据：+NAME:????????????3

2019-10-14 15:47:12:076   设备：192.168.1.43:12345连接！
2019-10-14 15:47:12:106   192.168.1.47:12345接收数据：+NAME:????????????3

2019-10-14 15:47:12:134   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:166   192.168.1.22:12345接收数据：+NAME:????????????3

2019-10-14 15:47:12:180   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:194   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:202   192.168.1.47:12345接收数据：+NAME:????????????3

2019-10-14 15:47:12:217   创建设备：192.168.1.43:12345接收线程！
2019-10-14 15:47:12:225   设备：192.168.1.32:12345连接！
2019-10-14 15:47:12:257   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:288   192.168.1.43:12345接收数据：+NAME:????????????14

2019-10-14 15:47:12:320   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:332   设备：192.168.1.46:12345连接！
2019-10-14 15:47:12:369   创建设备：192.168.1.32:12345接收线程！
2019-10-14 15:47:12:399   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:431   创建设备：192.168.1.46:12345接收线程！
2019-10-14 15:47:12:446   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:477   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:489   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:521   设备：192.168.1.55:12345连接！
2019-10-14 15:47:12:556   192.168.1.32:12345接收数据：+NAME:????????????3

2019-10-14 15:47:12:570   192.168.1.46:12345接收数据：+NAME:????????????2

2019-10-14 15:47:12:614   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:644   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:681   创建设备：192.168.1.55:12345接收线程！
2019-10-14 15:47:12:716   设备：192.168.1.21:12345连接！
2019-10-14 15:47:12:747   192.168.1.46:12345接收数据：+NAME:????????????2

2019-10-14 15:47:12:780   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:795   设备：192.168.1.25:12345连接！
2019-10-14 15:47:12:808   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:838   192.168.1.55:12345接收数据：+NAME:????????????11

2019-10-14 15:47:12:852   创建设备：192.168.1.21:12345接收线程！
2019-10-14 15:47:12:881   设备：192.168.1.30:12345连接！
2019-10-14 15:47:12:914   创建设备：192.168.1.25:12345接收线程！
2019-10-14 15:47:12:947   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:980   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:12:993   创建设备：192.168.1.30:12345接收线程！
2019-10-14 15:47:13:012   192.168.1.55:12345接收数据：+NAME:????????????11

2019-10-14 15:47:13:027   192.168.1.21:12345接收数据：+NAME:????????????2

2019-10-14 15:47:13:039   192.168.1.25:12345接收数据：+NAME:????????????6

2019-10-14 15:47:13:053   设备：192.168.1.58:12345连接！
2019-10-14 15:47:13:066   192.168.1.30:12345接收数据：+NAME:????????????1

2019-10-14 15:47:13:095   创建设备：192.168.1.58:12345接收线程！
2019-10-14 15:47:13:104   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:136   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:177   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:206   192.168.1.58:12345接收数据：+NAME:????????????14

2019-10-14 15:47:13:221   设备：192.168.1.105:12345连接！
2019-10-14 15:47:13:251   192.168.1.58:12345接收数据：+NAME:????????????14

2019-10-14 15:47:13:284   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:299   设备：192.168.1.54:12345连接！
2019-10-14 15:47:13:328   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:335   创建设备：192.168.1.105:12345接收线程！
2019-10-14 15:47:13:350   创建设备：192.168.1.54:12345接收线程！
2019-10-14 15:47:13:381   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:410   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:423   设备：192.168.1.40:12345连接！
2019-10-14 15:47:13:438   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:448   192.168.1.105:12345接收数据：+NAME:C2 KYD ????????

2019-10-14 15:47:13:493   192.168.1.54:12345接收数据：+NAME:????????????10

2019-10-14 15:47:13:503   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:522   设备：192.168.1.28:12345连接！
2019-10-14 15:47:13:553   创建设备：192.168.1.40:12345接收线程！
2019-10-14 15:47:13:561   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:574   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:594   设备：192.168.1.23:12345连接！
2019-10-14 15:47:13:609   创建设备：192.168.1.28:12345接收线程！
2019-10-14 15:47:13:630   192.168.1.40:12345接收数据：+NAME:????????????11

2019-10-14 15:47:13:666   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:682   创建设备：192.168.1.23:12345接收线程！
2019-10-14 15:47:13:701   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:725   192.168.1.28:12345接收数据：+NAME:????????????9

2019-10-14 15:47:13:756   192.168.1.28:12345接收数据：+NAME:????????????9

2019-10-14 15:47:13:791   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:803   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:847   设备：192.168.1.27:12345连接！
2019-10-14 15:47:13:858   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:872   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:884   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:924   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:13:938   设备：192.168.1.45:12345连接！
2019-10-14 15:47:13:970   创建设备：192.168.1.27:12345接收线程！
2019-10-14 15:47:14:001   设备：192.168.1.48:12345连接！
