2019-05-10 08:41:58:202   系统启动。。。
2019-05-10 08:41:58:872   设备：192.168.1.182:12345连接！
2019-05-10 08:41:58:941   设备：192.168.1.181:12345连接！
2019-05-10 08:41:58:953   创建设备：192.168.1.182:12345接收线程！
2019-05-10 08:41:58:984   创建设备：192.168.1.181:12345接收线程！
2019-05-10 08:41:58:996   192.168.1.181:12345接收数据：+NAME:????

2019-05-10 08:41:59:004   192.168.1.182:12345接收数据：+NAME:????

2019-05-10 08:42:07:263   当前设备为：192.168.1.182:12345！
2019-05-10 08:42:07:272   创建设备：192.168.1.182:12345发送线程！
2019-05-10 08:42:07:283   当前设备为：192.168.1.182:12345！
2019-05-10 08:42:07:290   创建设备：192.168.1.182:12345发送线程！
2019-05-10 08:42:08:281   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:08:291   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:08:297   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:08:303   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:08:482   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:08:488   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:08:498   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:08:505   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:08:683   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:08:691   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:08:698   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:08:706   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:08:882   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:08:890   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:08:898   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:08:904   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:09:083   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:09:090   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:09:099   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:09:105   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:09:283   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:09:289   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:09:300   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:09:308   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:09:483   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:09:491   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:09:501   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:09:507   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:09:683   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:09:690   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:09:702   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:09:708   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:09:883   192.168.1.182:12345接收数据：+STACH1:0,100000

2019-05-10 08:42:09:890   192.168.1.182:12345接收数据：+STACH2:0,100000
OK

2019-05-10 08:42:09:901   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:09:908   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:10:084   192.168.1.182:12345接收数据：+STACH1:1,100000

2019-05-10 08:42:10:091   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:10:102   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:10:109   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:10:285   192.168.1.182:12345接收数据：+STACH1:1,100000

2019-05-10 08:42:10:292   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:10:304   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:10:310   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:10:486   192.168.1.182:12345接收数据：+STACH1:1,100000

2019-05-10 08:42:10:493   192.168.1.182:12345接收数据：+STACH2:0,100000

2019-05-10 08:42:10:504   192.168.1.182:12345接收数据：+OCCH1:0

2019-05-10 08:42:10:510   192.168.1.182:12345接收数据：+OCCH2:0

2019-05-10 08:42:10:686   192.168.1.182:12345接收数据：+STACH1:1,100000

